metric_id,period,value,content_type,country,action_type
content_moderation_orders_received,2024-H1,342,,,
content_moderation_orders_received,2024-H1,128,,DE,
content_moderation_orders_received,2024-H1,95,,FR,
content_moderation_orders_received,2024-H1,67,,IT,
content_moderation_orders_received,2024-H1,52,,ES,
content_moderation_orders_median_response_time,2024-H1,18.5,,,
notices_received,2024-H1,284750,,,
notices_received,2024-H1,98200,hate_speech,,
notices_received,2024-H1,72400,illegal_products,,
notices_received,2024-H1,61300,terrorism,,
notices_received,2024-H1,52850,csam,,
notices_actioned,2024-H1,213562,,,
notices_actioned,2024-H1,189400,,, removal
notices_actioned,2024-H1,18900,,,demotion
notices_actioned,2024-H1,5262,,,labelling
notices_median_response_time,2024-H1,4.2,,,
complaints_received,2024-H1,47830,,,
complaints_reversed,2024-H1,6214,,,
complaints_median_resolution_time,2024-H1,72.0,,,
out_of_court_disputes,2024-H1,1847,,,
out_of_court_outcomes_upheld,2024-H1,1203,,,
account_suspensions_tos,2024-H1,89450,,,
account_suspensions_tos,2024-H1,34200,spam,,
account_suspensions_tos,2024-H1,28100,hate_speech,,
account_suspensions_tos,2024-H1,15700,harassment,,
account_suspensions_tos,2024-H1,11450,manipulation,,
account_suspensions_manifestly_illegal,2024-H1,12340,,,
automated_detection_items,2024-H1,1847200,,,
automated_detection_items,2024-H1,892000,hate_speech,,
automated_detection_items,2024-H1,534100,spam,,
automated_detection_items,2024-H1,421100,nudity,,
automated_detection_accuracy,2024-H1,94.2,,,
content_removals_own_initiative,2024-H1,1423800,,,
content_moderation_staff_fte,2024-H1,4850,,,
active_recipients_eu,2024-H1,148000000,,,
content_moderation_orders_received,2023-H2,298,,,
content_moderation_orders_median_response_time,2023-H2,22.1,,,
notices_received,2023-H2,251400,,,
notices_actioned,2023-H2,188550,,,
notices_median_response_time,2023-H2,5.8,,,
complaints_received,2023-H2,41200,,,
complaints_reversed,2023-H2,5480,,,
complaints_median_resolution_time,2023-H2,84.0,,,
out_of_court_disputes,2023-H2,1520,,,
out_of_court_outcomes_upheld,2023-H2,1010,,,
account_suspensions_tos,2023-H2,76300,,,
account_suspensions_manifestly_illegal,2023-H2,10890,,,
automated_detection_items,2023-H2,1592000,,,
automated_detection_accuracy,2023-H2,92.8,,,
content_removals_own_initiative,2023-H2,1189500,,,
content_moderation_staff_fte,2023-H2,4200,,,
active_recipients_eu,2023-H2,142000000,,,
